name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Steam (lbs/hr),Electric (kW),
PhysicalSciences.CW.FP/TONS,2024-02-10 00:00:00,D,75.475991666,Chilled Water,2024-03-20,69.005637894,1906.575281250,568.3416667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-10 00:00:00,D,1132.822435416,Steam,2024-03-21,68.437856250,2813.082177083,572.7677083,
PhysicalSciences.CW.FP/TONS,2024-02-11 00:00:00,D,75.671239583,Chilled Water,2024-03-22,62.744283157,2612.533166666,568.9364583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-11 00:00:00,D,1388.109989583,Steam,2024-03-23,67.375834375,2211.262489583,542.3375,
PhysicalSciences.CW.FP/TONS,2024-02-12 00:00:00,D,75.304024731,Chilled Water,2024-03-24,67.643914736,2261.141583333,544.346875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-12 00:00:00,D,1869.864427083,Steam,2024-03-25,74.870422916,2060.813510416,557.4864583,
PhysicalSciences.CW.FP/TONS,2024-02-13 00:00:00,D,70.996922105,Chilled Water,2024-03-26,93.888713829,1551.326145833,565.1791667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-13 00:00:00,D,2100.680260416,Steam,2024-03-27,87.464185416,1400.968254166,564.1229167,
PhysicalSciences.CW.FP/TONS,2024-02-14 00:00:00,D,71.829715789,Chilled Water,2024-03-28,70.599302500,1049.118414583,561.78125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-14 00:00:00,D,2634.183781250,Steam,2024-03-29,71.368510416,1049.118414583,576.85625,
PhysicalSciences.CW.FP/TONS,2024-02-15 00:00:00,D,76.643338541,Chilled Water,2024-03-30,73.877347916,1049.118414584,563.4489583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-15 00:00:00,D,2572.511250000,Steam,2024-03-31,75.182891666,70.361396875,577.8302083,
PhysicalSciences.CW.FP/TONS,2024-02-16 00:00:00,D,75.727809375,Chilled Water,2024-04-01,83.467288541,70.361396875,579.4010417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-16 00:00:00,D,2119.318572916,Steam,2024-04-02,74.914277083,1291.126464583,580.6791667,
PhysicalSciences.CW.FP/TONS,2024-02-17 00:00:00,D,73.879621875,Chilled Water,2024-04-03,75.785104347,1229.857032978,576.9709005,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-17 00:00:00,D,2324.174718750,Steam,2024-04-04,72.135642105,1634.224239583,569.7604167,
PhysicalSciences.CW.FP/TONS,2024-02-18 00:00:00,D,72.727804255,Chilled Water,2024-04-05,67.511550000,1863.666489795,585.32179,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-18 00:00:00,D,2571.584687500,Steam,2024-04-06,67.511550000,1579.284520833,581.7114583,
PhysicalSciences.CW.FP/TONS,2024-02-19 00:00:00,D,70.851090625,Chilled Water,2024-04-07,130.340863636,1220.504945833,574.4947917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-19 00:00:00,D,2574.854718750,Steam,2024-04-08,130.340863636,1577.754562500,575.246875,
PhysicalSciences.CW.FP/TONS,2024-02-20 00:00:00,D,70.753663541,Chilled Water,2024-04-09,130.340863636,1437.837291666,560.8802083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-20 00:00:00,D,2874.483739583,Steam,2024-04-10,130.340863637,1292.850056923,547.6735256,
PhysicalSciences.CW.FP/TONS,2024-02-21 00:00:00,D,77.789796875,Chilled Water,2024-04-11,130.340863638,1447.043802083,561.7958333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-21 00:00:00,D,1850.311822916,Steam,2024-04-12,130.340863639,1379.318457291,550.059375,
PhysicalSciences.CW.FP/TONS,2024-02-22 00:00:00,D,76.252104166,Chilled Water,2024-04-13,130.340863640,1290.405139583,570.9229167,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-22 00:00:00,D,1810.169593750,Steam,2024-04-14,130.340863641,1277.382481250,571.7395833,
PhysicalSciences.CW.FP/TONS,2024-02-23 00:00:00,D,75.216334375,Chilled Water,2024-04-15,130.340863642,1472.500842708,571.5333333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-23 00:00:00,D,1509.341510416,Steam,2024-04-16,130.340863643,1409.142647916,572.1895833,
PhysicalSciences.CW.FP/TONS,2024-02-24 00:00:00,D,74.229868539,Chilled Water,2024-04-17,68.684480000,1303.133617708,571.6427083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-24 00:00:00,D,2266.186895833,Steam,2024-04-18,68.684480001,1169.905563541,578.1583333,
PhysicalSciences.CW.FP/TONS,2024-02-25 00:00:00,D,73.443325000,Chilled Water,2024-04-19,68.684480002,1389.992921875,608.721875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-25 00:00:00,D,2394.858993750,Steam,2024-04-20,68.684480003,1094.517819791,605.8229167,
PhysicalSciences.CW.FP/TONS,2024-02-26 00:00:00,D,86.065631578,Chilled Water,2024-04-21,68.684480004,1226.791323958,595.7927083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-26 00:00:00,D,1459.344895833,Steam,2024-04-22,68.684480005,1463.203982291,590.8666667,
PhysicalSciences.CW.FP/TONS,2024-02-27 00:00:00,D,120.692101041,Chilled Water,2024-04-23,68.684480006,1387.945990625,593.603125,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-27 00:00:00,D,1358.773004166,Steam,2024-04-24,68.684480000,1304.295438541,578.5322917,
PhysicalSciences.CW.FP/TONS,2024-02-28 00:00:00,D,97.806117708,Chilled Water,2024-04-25,66.382505208,1731.080625000,578.659375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-28 00:00:00,D,1226.539060416,Steam,2024-04-26,109.454339583,1661.825441666,577.8322917,
PhysicalSciences.CW.FP/TONS,2024-02-29 00:00:00,D,79.440633333,Chilled Water,2024-04-27,83.388832978,1150.397620833,573.0083333,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-02-29 00:00:00,D,2634.211614583,Steam,2024-04-28,163.527864210,1166.625394791,577.6072917,
PhysicalSciences.CW.FP/TONS,2024-03-01 00:00:00,D,74.857994791,Chilled Water,2024-04-29,311.225284210,1296.638440625,591.7875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-01 00:00:00,D,2224.364177083,Steam,2024-04-30,241.938796842,1374.325430208,588.7864583,
PhysicalSciences.CW.FP/TONS,2024-03-02 00:00:00,D,73.752803125,Chilled Water,2024-05-01,179.840148958,1267.993660416,588.05625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-02 00:00:00,D,1273.909552083,Steam,2024-05-02,246.966990625,1390.243020833,574.6302083,
PhysicalSciences.CW.FP/TONS,2024-03-03 00:00:00,D,74.311850000,Chilled Water,2024-05-03,205.025229473,1309.809748958,600.4791667,
