name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-02 00:00:00,D,4.533100937,Chilled Water,2024-05-05,12.918568229,21.455028333,55.512815937,19.198325208
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-02 00:00:00,D,50.332788541,Hot Water Building Heat,2024-05-06,16.503217500,16.247045416,11.565275729,60.296115833
HuShihHall.Elec.PowerScout3HD/kW,2024-02-02 00:00:00,D,65.845353958,Electric,2024-05-07,17.717470000,18.642577187,-0.737851354,75.977449791
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-02 00:00:00,D,8.800532083,Electric Solar submeter,2024-05-08,24.781595000,16.647347291,2.399753750,72.053604062
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-03 00:00:00,D,4.454093020,Chilled Water,2024-05-09,16.618112083,20.248449687,38.238299375,33.152227083
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-03 00:00:00,D,54.020732395,Hot Water Building Heat,2024-05-10,12.519870208,22.157901041,51.594449791,21.065998750
HuShihHall.Elec.PowerScout3HD/kW,2024-02-03 00:00:00,D,53.390587708,Electric,2024-05-11,12.492478125,19.721312291,20.920836666,53.785487187
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-03 00:00:00,D,23.168802604,Electric Solar submeter,2024-05-12,12.209433645,21.840251979,29.926268541,41.777551041
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-04 00:00:00,D,4.714427604,Chilled Water,2024-05-13,13.750828958,18.448110937,36.611248958,35.025871250
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-04 00:00:00,D,50.353476354,Hot Water Building Heat,2024-05-14,22.134717500,14.447673020,10.624904375,60.729064270
HuShihHall.Elec.PowerScout3HD/kW,2024-02-04 00:00:00,D,45.758368645,Electric,2024-05-15,19.726044895,15.825231979,55.965415833,17.835893229
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-04 00:00:00,D,37.506619791,Electric Solar submeter,2024-05-16,24.493325729,13.218352187,23.668449062,53.075168333
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-05 00:00:00,D,4.345457604,Chilled Water,2024-05-17,24.201645416,13.364984479,13.676878229,66.189112604
