name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-11 00:00:00,D,48.901126458,Steam,2024-05-20,44.032291666,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-12 00:00:00,D,67.026041666,,2024-05-21,43.189583333,0.027006666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-12 00:00:00,D,24.110788125,Steam,2024-05-22,43.839583333,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-13 00:00:00,D,64.290625000,,2024-05-23,45.156250000,0.000000000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-13 00:00:00,D,10.701340312,Steam,2024-05-24,45.829166666,42.659147500
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-14 00:00:00,D,64.560416666,,2024-05-25,46.054166666,106.095698437
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-14 00:00:00,D,26.090580625,Steam,2024-05-26,41.504166666,51.735879687
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-15 00:00:00,D,68.307291666,,2024-05-27,38.205208333,48.359260729
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-15 00:00:00,D,13.683026041,Steam,2024-05-28,34.184375000,20.045935520
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-16 00:00:00,D,67.429166666,,2024-05-29,22.160416666,0.064773333
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-16 00:00:00,D,12.330595729,Steam,2024-05-30,24.082291666,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-17 00:00:00,D,66.801041666,,2024-05-31,23.487500000,506.947182083
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-17 00:00:00,D,9.074008020,Steam,2024-06-01,23.834375000,467.100433333
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-18 00:00:00,D,66.267708333,,2024-06-02,24.587500000,439.458216666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-18 00:00:00,D,30.966926666,Steam,2024-06-03,24.051041666,239.951582083
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-19 00:00:00,D,63.641666666,,2024-06-04,22.494791666,46.846140312
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-19 00:00:00,D,44.491885104,Steam,2024-06-05,21.965625000,45.717120000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-20 00:00:00,D,65.926041666,,2024-06-06,22.345833333,45.240171354
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-20 00:00:00,D,32.444644375,Steam,2024-06-07,23.886458333,46.804913541
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-21 00:00:00,D,65.876041666,,2024-06-08,20.411458333,47.807374479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-21 00:00:00,D,52.679149166,Steam,2024-06-09,20.735416666,48.832866770
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-22 00:00:00,D,69.373958333,,2024-06-10,22.632291666,50.514441666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-22 00:00:00,D,55.429196666,Steam,2024-06-11,23.685416666,50.460761354
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-23 00:00:00,D,67.621875000,,2024-06-12,23.262500000,51.042898645
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-23 00:00:00,D,51.233569687,Steam,2024-06-13,22.478125000,48.973690104
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-24 00:00:00,D,66.250000000,,2024-06-14,22.269791666,46.806631562
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-24 00:00:00,D,45.634612916,Steam,2024-06-15,20.107291666,47.953941145
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-25 00:00:00,D,64.732291666,,2024-06-16,20.207291666,47.946766354
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-25 00:00:00,D,46.434251770,Steam,2024-06-17,21.677083333,47.822054270
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-26 00:00:00,D,65.423958333,,2024-06-18,22.488541666,46.901205416
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-26 00:00:00,D,46.556525833,Steam,2024-06-19,23.436458333,46.211586041
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-27 00:00:00,D,63.527083333,,2024-06-20,24.946875000,46.482084479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-27 00:00:00,D,89.257167708,Steam,2024-06-21,23.422916666,45.474987604
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-28 00:00:00,D,67.654166666,,2024-06-22,20.267708333,46.416341770
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-28 00:00:00,D,269.706378333,Steam,2024-06-23,20.503125000,44.970327604
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-29 00:00:00,D,67.893750000,,2024-06-24,23.752083333,46.953020729
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-29 00:00:00,D,27.480504166,Steam,2024-06-25,21.036458333,48.763348020
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-30 00:00:00,D,58.366666666,,2024-06-26,21.618750000,46.644262708
